CODE,ESYMBOL,EXCHANGE,GUSHU,GUSHUBIJIAO,NAME,REPORTDATE,RN,SCSTC27,SHANGQIGUSHU,SHANGQISHIZHI,SHANGQISHULIANG,SHIZHI,SHULIANG,SHULIANGBIJIAO,SNAME,stockid
1002465,002465,CNSESZ,195478319,-69296162,,2019-09-30,89,0.0848265,"26,477",2525948548.7399999681356,260,1915687526.1999999422,53,-207,海格通信,002465
1002465,002465,CNSE00,195478319,-69296162,,2019-09-30,129,0.07087785,"26,477",2525948548.7399999681356,260,1915687526.1999999422,53,-207,东兴众智优选混合,002465
1300054,300054,CNSESZ,76580504,-55506932,,2019-09-30,90,0.08458786,"13,209",1050095116.20000002398999,58,700711611.59999999,12,-46,鼎龙股份,300054
0603587,603587,CNSESH,9637475,3670439,,2019-09-30,91,0.08453925,597,135690398.64000000100412,60,215108442,6,-54,地素时尚,603587
1300450,300450,CNSESZ,75284670,-160159651,,2019-09-30,92,0.08392797,"23,544",7903885000.94999997459924,579,2537093378.99999999694,122,-457,先导智能,300450
1002643,002643,CNSESZ,75390465,-41042079,,2019-09-30,93,0.08292565,"11,643",1175968694.3999999796992,130,943134717.1500000221,30,-100,万润股份,002643
1300166,300166,CNSESZ,86782243,-133061128,,2019-09-30,94,0.08258223,"21,984",2701875029.589999993338852,300,1113416177.6899999815,33,-267,东方国信,300166
0600426,600426,CNSESH,133310166,-53557398,,2019-09-30,95,0.08227348,"18,687",2776852001.03999998030348,273,2190286027.37999999949,61,-212,华鲁恒升,600426
0603369,603369,CNSESH,101289482,-41622398,,2019-09-30,96,0.08074092,"14,291",3985812333.200000037188,448,3273676058.2400000347,109,-339,今世缘,603369
0600563,600563,CNSESH,18030977,-18790049,,2019-09-30,97,0.08013768,"3,682",1515921640.4200000306566,247,808148389.140000036,25,-222,法拉电子,600563
0600893,600893,CNSESH,167991684,-52651459,,2019-09-30,98,0.07968718,"22,064",5010805777.53000004728788,279,3673978129.0799998761,41,-238,航发动力,600893
0603883,603883,CNSESH,32416964,-20140148,,2019-09-30,99,0.07957262,"5,256",3073539909.75999998201,267,2454794683.7200000057,82,-185,老百姓,603883
1002268,002268,CNSESZ,66468073,-47263395,,2019-09-30,100,0.07928572,"11,373",2780734392.59999995377,218,1853794555.9700000135,35,-183,卫士通,002268
0600837,600837,CNSESH,638004075,-316377115,,2019-09-30,101,0.07884253,"95,438",13542669086.13999995863512,750,9123458272.5000000004,254,-496,海通证券,600837
1300136,300136,CNSESZ,76056040,-18461458,,2019-09-30,102,0.07863605,"9,452",2310952826.1000000280702,368,2722806231.999999971,137,-231,信维通信,300136
0600845,600845,CNSESH,65751117,-75441520,,2019-09-30,103,0.07861489,"14,119",4021166301.7600000039493,464,2351259943.920000000334,158,-306,宝信软件,600845
1000977,000977,CNSESZ,113083734,-13442370,,2019-09-30,104,0.07778914,"12,653",3018912841.44000000639698,372,2906251963.80000003321,121,-251,浪潮信息,000977
1000066,000066,CNSESZ,227079838,-93711816,,2019-09-30,105,0.07754977,"32,079",3297738203.12000002378099,251,2929329910.2000000184,67,-184,中国长城,000066
0603368,603368,CNSESH,27409065,-17330652,,2019-09-30,106,0.07615063,"4,474",1469940609.460000017493,192,979407389.3999999993024,47,-145,柳药股份,603368
1300144,300144,CNSESZ,198003735,-50788425,,2019-09-30,107,0.07572731,"24,879",5757050582.400000006981101,461,5532224355.90000000731,114,-347,宋城演艺,300144
1002332,002332,CNSESZ,69376137,-80986939,,2019-09-30,108,0.0757206,"15,036",1016454393.7600000004141,192,523096072.979999997,11,-181,仙琚制药,002332
1000063,000063,CNSESZ,262771235,-185012770,,2019-09-30,109,0.07557775,"44,778",14543312282.6800000088381,1056,8411307232.34999997598,281,-775,中兴通讯,000063
0601799,601799,CNSESH,20864478,-31031488,,2019-09-30,110,0.07555344,"5,190",4097705475.3600000856021,272,1609694477.6999999778,81,-191,星宇股份,601799
0603259,603259,CNSESH,106675867,56808425,,2019-09-30,111,0.0754852,"4,987",4316436133.8599999730325,633,9247815988.9000000052,350,-283,药明康德,603259
0600183,600183,CNSESH,171234982,50911395,,2019-09-30,112,0.07477639,"12,032",1810869984.35000000171,298,4270600451.080000045658,237,-61,生益科技,600183
1002463,002463,CNSESZ,126442560,-172042997,,2019-09-30,113,0.07409947,"29,849",4065373286.34000004704898,446,3097842720,169,-277,沪电股份,002463
