CINDUSTRY2,CODE,COMPANYCODE,COMPANYNAME,EXCHANGE,ITPROFILE21,ITPROFILE26,ITPROFILE38,NAME,NO,SNAME,STYLE,STYLECODE,SYMBOL
轻工制造,0600539,10000366,太原狮头水泥股份有限公司,CNSESH,23000,0351-6838977,www.sse.com.cn,,940,ST狮头,464,801140,600539
交通运输,1200053,10000639,深圳赤湾石油基地股份有限公司,CNSESZ,23060,0755-26694211,www.cninfo.com.cn,,941,深基地B,464,801170,200053
钢铁,0603995,80525474,浙江甬金金属科技股份有限公司,CNSESH,23067,0579-88988809,,,942,甬金股份,464,801040,603995
有色金属,0688388,80037347,广东嘉元科技股份有限公司,CNSESH,23087.599999999999,0753-2825818,,,943,嘉元科技,464,801050,688388
建筑材料,1002066,80079946,瑞泰科技股份有限公司,CNSESZ,23100,"010-57987966,010-57987958",www.cninfo.com.cn,,944,瑞泰科技,464,801710,002066
传媒,1300770,80591849,广东南方新媒体股份有限公司,CNSESZ,23105.814600000002,020-26188386,,,945,新媒股份,464,801760,300770
机械设备,1002667,80190739,鞍山重型矿山机器股份有限公司,CNSESZ,23113.200000000001,0412-5213058,www.cninfo.com.cn,,946,鞍重股份,464,801890,002667
电子,0603267,80585072,北京元六鸿远电子科技股份有限公司,CNSESH,23147.599999999999,010-89237777,,,947,鸿远电子,464,801080,603267
汽车,0603950,80460734,襄阳长源东谷实业股份有限公司,CNSESH,23152.200000000001,0710-3062990,,,948,长源东谷,464,801880,603950
机械设备,1300092,80146934,四川科新机电股份有限公司,CNSESZ,23159.900000000001,0838-8265111,www.cninfo.com.cn,,949,科新机电,464,801890,300092
化工,0688116,80958231,江苏天奈科技股份有限公司,CNSESH,23185.811600000001,0511-81989986,,,950,天奈科技,464,801030,688116
化工,1300243,80176443,山东瑞丰高分子材料股份有限公司,CNSESZ,23232.285100000001,0533-3220711,www.cninfo.com.cn,,951,瑞丰高材,464,801030,300243
机械设备,0603185,80198784,无锡上机数控股份有限公司,CNSESH,23250.900000000001,0510-85390590,,,952,上机数控,464,801890,603185
计算机,1300523,80400064,北京辰安科技股份有限公司,CNSESZ,23263.763800000001,"010-57930911,010-57930906",www.cninfo.com.cn,,953,辰安科技,464,801750,300523
有色金属,1002988,80201307,广东豪美新材股份有限公司,CNSESZ,23277,0763-3699509,,,954,豪美新材,464,801050,002988
电子,1002850,80197265,深圳市科达利实业股份有限公司,CNSESZ,23292.045099999999,0755-26400270,,,955,科达利,464,801080,002850
化工,1002909,80536333,广州集泰化工股份有限公司,CNSESZ,23380.277300000002,020-85532539,www.cninfo.com.cn,,956,集泰股份,464,801030,002909
采掘,0603727,80400109,博迈科海洋工程股份有限公司,CNSESH,23419.425200000001,022-66219991,,,957,博迈科,464,801020,603727
电子,1002845,80494787,深圳同兴达科技股份有限公司,CNSESZ,23431.430400000001,0755-33687792,www.cninfo.com.cn,,958,同兴达,464,801080,002845
医药生物,1000915,10001178,山东山大华特科技股份有限公司,CNSESZ,23433.148499999999,"0531-85198601,0531-85198606",www.cninfo.com.cn,,959,山大华特,464,801150,000915
