报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2009-12-31,2008-12-31,
长期应付款(万元),,,,,42208,48880,80943,,,,,,,,,,,,30,,1168,1173,30,30,30,,10,10,10,10,10,10,10,10,
专项应付款(万元),,,,,,,,21,11028,14218,15344,13719,13239,11937,13458,13484,,,,,,,14077,,14004,,8473,,3925,3925,3925,,,,
预计非流动负债(万元),24900,27306,40441,40793,,,,,,,,,,,,,,,20193,22435,16082,17724,15162,15513,6476,,6097,7353,5774,6599,8991,10456,14933,10487,
长期递延收益(万元),38621,38711,39278,39591,38747,38734,39176,26490,14482,9680,11857,11857,9427,9427,8175,8175,,,,,,,,,,,,,,,,,,,
递延所得税负债(万元),1130,1136,1152,1159,33806,31368,23256,7429,7031,5462,5548,12366,10110,40067,14996,7753,341,320,338,329,349,341,2026,3071,369,3672,1451,2708,8703,14794,19435,25133,24410,12752,
其他非流动负债(万元),,,,,,,,9547,9531,9416,9317,10083,660,777,418,360,21582,21571,18561,18097,9805,12918,3255,17332,,15766,,6224,,,,3929,6,,
非流动负债合计(万元),1291798,1194822,1540605,1344490,1431508,1405073,1158428,623206,503935,245102,348070,151667,333001,361710,336487,329069,326246,321151,267910,475325,318447,312318,310557,320436,306518,310281,290464,91090,130914,38516,146193,153973,294560,25949,
负债合计(万元),3097755,3278934,3477922,3364078,3753490,3705521,3649114,1917916,1770164,1878973,1792018,1659046,1665157,1742656,1658479,1636844,1646377,1770405,1633407,1643505,1718586,1729663,1666317,1651769,1780052,1764834,1646673,1477798,1665817,1369864,1377311,1302338,1049763,923238,
实收资本(或股本)(万元),740080,740080,740080,604917,604917,604917,604917,460648,460648,460648,460648,460648,460648,460648,460648,460648,460648,424900,424900,424900,424900,424900,424900,424900,424900,424900,424900,424900,424900,424900,424900,424900,424900,424900,
资本公积(万元),610091,605438,614267,412449,399359,399650,399359,279350,279350,283026,283112,283112,277768,287641,222459,227917,282473,176278,168407,170982,172373,173875,181569,183908,180269,,185279,187300,199098,210649,223572,230559,216385,189414,
减:库存股(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专项储备(万元),5389,4983,4874,4154,3546,3465,3369,3510,3536,3646,3472,3453,3585,3529,3537,3571,3501,4006,4163,4201,4271,4205,4325,4287,3945,590198,3994,3939,3539,3388,3139,3121,,,
盈余公积(万元),81185,81185,81185,81185,69958,69958,69958,61965,61965,55710,55710,55710,43445,43445,43446,43446,43446,43446,43445,43446,40131,40131,37744,37744,37580,,35253,35253,34101,34101,31754,31754,26752,22515,
一般风险准备(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
未分配利润(万元),1357163,1297180,1306604,1248437,1183057,1118805,1037650,881736,817524,773664,746464,709200,712550,673517,620920,616130,549556,521762,503915,478610,468591,442457,427441,412612,414487,,366894,354447,364864,343659,335289,310691,271030,244142,
拟分配现金股利(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
外币报表折算差额(万元),,-38446,,-32714,,,14981,,,,,,,,,,-259,-1594,-2259,-2597,-3578,-3503,-507,-103,-1178,,-1639,-592,203,606,386,819,80,17,
归属于母公司股东权益合计(万元),2774270,2701048,2728851,2323640,2267231,2200236,2142997,1697016,1633601,1595291,1568366,1538527,1526845,1547504,1396992,1368659,1339365,1168797,1142572,1119542,1106689,1082066,1075473,1063349,1060002,1015098,1014681,1005248,1026705,1017304,1019040,1001844,939147,880989,
少数股东权益(万元),142535,130944,130071,461704,457404,441180,440509,362653,355360,323490,334692,333344,318637,368423,296519,287861,264172,258988,254867,248867,237674,234749,243278,236147,228861,221002,222755,219614,220770,222610,231812,227711,205378,184347,
所有者权益(或股东权益)合计(万元),2916805,2831991,2858922,2785344,2724634,2641416,2583506,2059669,1988961,1918782,1903058,1871871,1845482,1915928,1693511,1656520,1603537,1427785,1397438,1368409,1344363,1316815,1318751,1299496,1288863,1236100,1237436,1224861,1247475,1239913,1250852,1229555,1144525,1065335,
负债和所有者权益(或股东权益)总计(万元),6014560,6110925,6336845,6149422,6478124,6346937,6232620,3977585,3759125,3797754,3695076,3530916,3510638,3658583,3351990,3293364,3249914,3198190,3030845,3011914,3062949,3046478,2985069,2951265,3068915,3000934,2884108,2702660,2913291,2609777,2628163,2531893,2194288,1988574,		
