报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2014-06-30,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,
资本公积(万元),260183,260229,258919,259287,259320,259305,259305,259305,259774,259774,391114,391114,391648,391648,187297,187297,187297,197211,187297,187920,187291,,184949,,183583,180358,
减:库存股(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
专项储备(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
盈余公积(万元),25690,25690,25690,29415,27197,27197,27197,27197,23640,23640,23640,23640,18709,18709,18709,18709,9228,9228,9228,4741,4741,,3131,,3131,1063,
一般风险准备(万元),93388,91932,92450,99327,93608,93475,93318,93146,85017,84812,84598,84404,73728,73652,73585,73542,54349,27922,54349,45255,45255,,21775,,42034,19707,
未确定的投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
未分配利润(万元),157517,145233,155879,164439,172476,167292,174135,167407,166695,155936,152845,146177,165550,146262,133250,123304,125177,113186,59701,39457,26405,,24451,,18899,19595,
拟分配现金股利(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
外币报表折算差额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
归属于母公司股东权益合计(万元),887103,873353,883196,880233,884382,878754,891517,885728,880972,869719,868165,861290,884459,861004,621851,615093,581782,570853,513431,474373,455507,458500,451566,449900,444646,435913,
少数股东权益(万元),45885,46327,37517,36169,36449,36652,33671,33262,58204,65159,52846,50765,45601,42184,39347,42407,42398,,33423,26730,26359,24600,24990,25100,25613,24306,
所有者权益(或股东权益)合计(万元),932987,919680,920714,916402,920831,915405,925189,918990,939177,934878,921010,912055,930060,903187,661198,657500,624180,570853,546854,501102,481866,483100,476556,475000,470259,460219,
负债和所有者权益(或股东权益)总计(万元),3487766,3519880,3850207,3356425,3304902,3417552,3523667,3311973,3060717,3235604,3292157,3170030,3428667,3181315,3243380,3327352,4433253,4328213,2111360,1610167,1130357,1195800,1092058,1004100,1078972,1129951,		
